_id,OBJECTID,SEGMENT_ID,INSTALLED,UPGRADED,PRE_AMALGAMATION,STREET_NAME,FROM_STREET,TO_STREET,ROADCLASS,CNPCLASS,SURFACE,OWNER,DIR_LOWORDER,INFRA_LOWORDER,SEPA_LOWORDER,SEPB_LOWORDER,ORIG_LOWORDER_INFRA,DIR_HIGHORDER,INFRA_HIGHORDER,SEPA_HIGHORDER,SEPB_HIGHORDER,ORIG_HIGHORDER,BYLAWED,EDITOR,LAST_EDIT_DATE,UPGRADE_DESCRIPTION,CONVERTED,geometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293,1293,1293,2020,0, ,Bloor St W,Symington Ave,Shaw St, , , , , ,Cycle Track, , , , ,Cycle Track, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4232685939892, 43.6625099424757], [-79.4244330290731, 43.6622500843012], [-79.4246453518477, 43.6621985657573], [-79.425659480152, 43.6619849168039], [-79.4268583745079, 43.6617365600195], [-79.4280540692558, 43.6614805194916], [-79.4282052883091, 43.6614364809779], [-79.4294380040694, 43.6611507627728], [-79.4302367524498, 43.6609836569977], [-79.4304208808964, 43.6609451354497], [-79.4311320991419, 43.6607909230365], [-79.4316723952422, 43.6606612048333], [-79.4324351688084, 43.6604884813394], [-79.4329168762239, 43.6603919645712], [-79.4330347171561, 43.6603655607072], [-79.4338354424814, 43.6601861080786], [-79.4341131654386, 43.660145276359], [-79.4353658491733, 43.6598837642969], [-79.4364415171897, 43.6596500803903], [-79.4376078856223, 43.6594264363881], [-79.4386708827105, 43.6592125365326], [-79.4391750661821, 43.6590981467533], [-79.4397434644234, 43.6589903685995], [-79.4403889646754, 43.6588585132391], [-79.4407475119921, 43.6587817921326], [-79.4415787626296, 43.6585944338524], [-79.4417347767139, 43.6585615145361], [-79.4427340259533, 43.6583384079851], [-79.4439968884919, 43.6580896692807], [-79.445218622359, 43.6578341098941], [-79.4469341996345, 43.6574765754274], [-79.4477638631585, 43.6573036635636]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294,1294,1294,2021,0, ,Eglinton Ave E,Don Mills Rd,Birchmount Rd, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3388589128594, 43.720485726602], [-79.3376005601345, 43.7208724935827], [-79.3366541330823, 43.7211633435128], [-79.3354898834526, 43.7215211296168], [-79.3351969555921, 43.7216111611781], [-79.335110028567, 43.7216378775314], [-79.334697732189, 43.7217625613755], [-79.3334339911603, 43.7221440988834], [-79.3320095942374, 43.7225741101306], [-79.3303427198727, 43.7230782382456], [-79.3300551161838, 43.7231498209555], [-79.3284800222877, 43.7235525332455], [-79.3268932392983, 43.7239642073401], [-79.3261801767875, 43.7241521603139], [-79.325283918404, 43.7243848261679], [-79.3236369620654, 43.7248155806487], [-79.3226392605796, 43.7250963698293], [-79.3223256085526, 43.7251769028829], [-79.3222809859716, 43.7251858347529], [-79.3219211855011, 43.7252662859326], [-79.3218843202466, 43.7252752297329], [-79.3203991570768, 43.7256599681229], [-79.3199644000301, 43.7257717996735], [-79.3194977887229, 43.7258970901305], [-79.3190557368056, 43.7259819029806], [-79.3184786614509, 43.7260800016306], [-79.3182791636126, 43.7261201992167], [-79.3180827673539, 43.726164893009], [-79.3180106009491, 43.7261737793695], [-79.317782049447, 43.7262004189647], [-79.3176121239041, 43.7262136498061], [-79.3173444553905, 43.7262177230036], [-79.3171326251152, 43.72623538678], [-79.3168645703737, 43.7262439678566], [-79.3166271336563, 43.7262615896666], [-79.316282655958, 43.7262745383674], [-79.3160127211263, 43.7262606023251], [-79.3157773155597, 43.7262512219215], [-79.3155391655638, 43.726246346225], [-79.3152836333453, 43.726218929844], [-79.3150575385793, 43.7262050623845], [-79.3147934672311, 43.7261776310909], [-79.3145991849549, 43.7261638142668], [-79.3143436674229, 43.7261318951883], [-79.3142176657912, 43.7261136969822], [-79.3140214630076, 43.726090874815], [-79.3138260856781, 43.7260500511766], [-79.3136776092132, 43.7260228055253], [-79.3135272740359, 43.7260106067212], [-79.3135077670651, 43.7260090266827], [-79.3129707718976, 43.7259361483602], [-79.3112157167334, 43.7256497330909], [-79.3099760063714, 43.7254829201344], [-79.3098292966415, 43.7254631794535], [-79.3098273115546, 43.7254629151148], [-79.3096799784318, 43.7254401667907], [-79.3092670838559, 43.7253764698689], [-79.3089443676177, 43.7253348312424], [-79.3087871180062, 43.7253081676541], [-79.308293753883, 43.7252303356425], [-79.3080951010402, 43.7251989930182], [-79.3074802307848, 43.7251079556382], [-79.3069986784072, 43.725044134858], [-79.3067342456014, 43.7250121837101], [-79.3067187452481, 43.7250076568801], [-79.3064082255181, 43.7249531329359], [-79.3061969409286, 43.7249212705483], [-79.3061734441068, 43.7249177562273], [-79.3059837079066, 43.7248894044627], [-79.3057576785192, 43.7248575162342], [-79.3056150568003, 43.7248257694336], [-79.305403363494, 43.7247939048835], [-79.3052106393506, 43.724780083753], [-79.3050408172939, 43.7247617917407], [-79.3049237184837, 43.7247480900899], [-79.3047918576918, 43.7247433643506], [-79.304580518404, 43.7247250007428], [-79.3042874068975, 43.7246884942774], [-79.304022918431, 43.724674539243], [-79.3038231777876, 43.724669704984], [-79.3037071850801, 43.7246785070887], [-79.303439949185, 43.7246735472285], [-79.3031292720877, 43.7246685119301], [-79.3029077790945, 43.7246771314647], [-79.3027289181759, 43.7246903247761], [-79.3026295647554, 43.7247081557445], [-79.3024060106558, 43.7247018286871], [-79.3022801661027, 43.7246982626093], [-79.301969585485, 43.7247242155995], [-79.3013911489046, 43.7248050332697], [-79.301239044685, 43.7248227713584], [-79.3005233542445, 43.7249525466645], [-79.3003389543711, 43.7249887337402], [-79.3002757613436, 43.725001126062], [-79.2995145167241, 43.7251638319894], [-79.2993985311319, 43.7251886249376], [-79.2981004484123, 43.7254923905902], [-79.2974996446204, 43.7256360047005], [-79.2974126030045, 43.7256531958515], [-79.2943033382924, 43.7263407651664], [-79.2942122993642, 43.7263611871301], [-79.2914487434697, 43.7269810982056], [-79.2899245803552, 43.7273229644815], [-79.2876008812015, 43.7278317586151], [-79.286138108331, 43.7281620768079], [-79.284814344867, 43.7284566421054], [-79.2828562105183, 43.7288940174233], [-79.2812234524626, 43.729241961063], [-79.2807102395654, 43.7293490014098], [-79.2792117302133, 43.7296791712944], [-79.2778445420708, 43.7299465681949]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295,1295,1295,2020,0, ,Roxton Rd,Dewson St,Dewson St, , , , , ,Sharrows, , , , ,Bike Lane - Contraflow, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4221547105775, 43.6563895068829], [-79.4225273580146, 43.6573289429656]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296,1296,1296,2015,2021, ,Bayview Ave,Front St E,Mill St, , , , , , , , , , ,Bi-Directional Cycle Track, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3530564800415, 43.6528483159847], [-79.3531152990706, 43.6529368389003], [-79.3532093896333, 43.6530196012071], [-79.3532156120431, 43.65302507302], [-79.353234326478, 43.653042469665], [-79.3533381651454, 43.6531390164532], [-79.353415635877, 43.6532200920128], [-79.3534625814739, 43.6532771397816], [-79.3534663143909, 43.6532816722484], [-79.3535141565322, 43.6533473354415], [-79.3535662186504, 43.6534212132555], [-79.3536144133131, 43.6534898473038], [-79.3536152655461, 43.6534911535916], [-79.3536202060188, 43.6534987300575], [-79.3536245165773, 43.6535053425716], [-79.3536482308207, 43.6535417294068], [-79.3536738472191, 43.6535810171079], [-79.3536747488685, 43.6535823954693], [-79.3536929586584, 43.6536239510278]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297,1297,1297,2016,2018, ,Bloor St W,Spadina Ave,Queen's Park, , , , , ,Cycle Track, , , , ,Cycle Track, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4038707378977, 43.6666572968676], [-79.4034188054648, 43.6667536802791], [-79.4029572583289, 43.6668521150461], [-79.402707177037, 43.6669054424105], [-79.4022795240977, 43.6669993126004], [-79.4017304428574, 43.6671198378332], [-79.4015389554648, 43.6671618623126], [-79.3998364772234, 43.6675168810616], [-79.3983645780234, 43.6678316276819], [-79.3973807918684, 43.668033224743], [-79.3965743308423, 43.6681937478025], [-79.3958757476091, 43.6683327872883], [-79.3950571245117, 43.6685156838699], [-79.3941414134514, 43.6687202589369]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1298,1298,1298,2016,2019, ,Bloor St W,Bathurst St,Spadina Ave, , , , , ,Cycle Track, , , , ,Cycle Track, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4112057125618, 43.6651173762799], [-79.4105942098507, 43.6652543860771], [-79.4099926645823, 43.6653891771101], [-79.4093189488455, 43.6655251139253], [-79.4090780982473, 43.6655822881309], [-79.4088783049141, 43.6656297101108], [-79.4086808432393, 43.6656765845221], [-79.4080641448388, 43.6657981213254], [-79.4076648523955, 43.6658768042264], [-79.4074731068106, 43.6659145898168], [-79.4070215885269, 43.6660070722395], [-79.4066729949202, 43.6660784748123], [-79.406274120659, 43.6661649573509], [-79.4056381109004, 43.6662991210974], [-79.4053548050114, 43.6663588807864], [-79.4048449509013, 43.6664594164929], [-79.404518645863, 43.6665237559916], [-79.4040922107635, 43.6666116480992], [-79.4038707378977, 43.6666572968676]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299,1299,1299,2019,0, ,Elmer Ave,Norway Ave,Norway Ave, , , , , ,Sharrows, , , , ,Sharrows, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3052248509825, 43.6735611227214], [-79.3049519100757, 43.6728107211265]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,1300,1300,2019,0, ,Norway Ave,Woodbine Ave,Elmer Ave, , , , , ,Sharrows, , , , ,Bike Lane - Contraflow, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3071997164496, 43.6721959094524], [-79.3059494982861, 43.6724638696952], [-79.305343267907, 43.6725914228839], [-79.3052599009291, 43.6726049899066], [-79.3051468661888, 43.6726658622646], [-79.3049519100757, 43.6728107211265]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,1301,1301,2019,0, ,Norway Ave,Elmer Ave,Lee Ave, , , , , ,Sharrows, , , , ,Sharrows, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3052248509825, 43.6735611227214], [-79.3037931227607, 43.673887294485], [-79.302661838657, 43.6741196875174], [-79.3015982934876, 43.6743563365418], [-79.3006840298158, 43.6745516949551], [-79.2997759861732, 43.6747469399262]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302,1302,1302,2001,2019, ,Martin Goodman Trl,Yonge St,100 m E of Cooper St, , , , , ,Multi-Use Trail - Boulevard, , , , ,Multi-Use Trail - Boulevard, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3745862525879, 43.6418481014929], [-79.3730176552376, 43.6423890266571], [-79.3702547014901, 43.6433591435385]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,1303,1303,2002,0, ,Fort York Blvd,Bathurst St,Spadina Ave, , , , , ,Bike Lane, , , , ,Bike Lane, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3930046074104, 43.6405628217994], [-79.3932598897711, 43.6405252096602], [-79.3935071815437, 43.6404711889997], [-79.3937504802116, 43.6404110611594], [-79.3939558875576, 43.6403655338957], [-79.3944310249722, 43.6402057761627], [-79.394790234421, 43.6400817623007], [-79.3949338553864, 43.6400423603423], [-79.3953204332889, 43.6399805064668], [-79.3956281228279, 43.6399456914331], [-79.3958151289727, 43.6399245287536], [-79.3958395749968, 43.6399220576488], [-79.396223322826, 43.6398832326642], [-79.396511638841, 43.6398268033589], [-79.3968845043489, 43.6397366764538], [-79.3972472631983, 43.6396489876219], [-79.397676633162, 43.6395071869879], [-79.3978517697242, 43.6394530743084], [-79.3980046991208, 43.6394040903368], [-79.3980930066649, 43.6393758147512], [-79.3982826631292, 43.6393102285944], [-79.3984463824933, 43.6392566899322], [-79.3987041945331, 43.6391982656877], [-79.3989961513953, 43.6391403211035], [-79.3992705515813, 43.6391007411193], [-79.3992819195693, 43.6390992569067], [-79.3994848573463, 43.6390727194314], [-79.3996963716955, 43.6390313098425], [-79.4006408019087, 43.6388412243558]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304,1304,1304,2019,0, ,Corley Ave,Woodbine Ave,Brookside Dr, , , , , ,Sharrows, , , , ,Bike Lane - Contraflow, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3089611845959, 43.6764609653287], [-79.3089537288651, 43.6764655615429], [-79.3088460804248, 43.6765319193201], [-79.3087911024967, 43.6765475976793], [-79.3080482826911, 43.6767090155469], [-79.3069219387754, 43.6769518824392], [-79.3067198037326, 43.6769695164704], [-79.3067111539668, 43.6769712481002], [-79.3057258720507, 43.6771683719075], [-79.3057173083159, 43.6771703286411], [-79.3051564066297, 43.6772986958652], [-79.3049024344152, 43.6773568162459], [-79.3047541471248, 43.6774242439584]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305,1305,1305,2017,2022, ,Woodbine Ave,Kingston Rd,Gerrard St E, , , , , ,Cycle Track, , , , ,Cycle Track, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.3079266207546, 43.6739285106355], [-79.3089611845959, 43.6764609653287], [-79.3093000993731, 43.6772652678307], [-79.3100276435891, 43.679037848037], [-79.3107474773409, 43.6807753501974]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306,1306,1306,2001,2021, ,Russell Hill Rd,Heath St W,St Clair Ave W, , , , , ,Sharrows - Wayfinding, , , , ,Sharrows - Wayfinding, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4079048969244, 43.6853484481345], [-79.4087124734276, 43.687422258218]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1307,1307,1307,2005,0, ,Kilbarry Rd,Russell Hill Rd,Dunvegan Rd, , , , , ,Signed Route (No Pavement Markings), , , , ,Signed Route (No Pavement Markings), , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.4112197361035, 43.6935147539], [-79.4101794464392, 43.6937192246736], [-79.4098803991507, 43.693769567559], [-79.4096542893228, 43.6938076085584], [-79.4081881237971, 43.6943021414755]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1308,1308,1308,2021,2021, ,Agincourt Dr,Havendale Rd,Lockie Ave, , , , , ,Sharrows - Wayfinding, , , , ,Sharrows - Wayfinding, , , , , ,, , ,"{'type': 'MultiLineString', 'coordinates': [[[-79.2859289244034, 43.7923737339155], [-79.2859214076234, 43.7923560866145], [-79.285234913932, 43.7907432534178], [-79.2848829792448, 43.789910202388], [-79.2846602589744, 43.7893830183559], [-79.2841749876181, 43.7882479684245], [-79.2841502673452, 43.7882119171788], [-79.2841193546208, 43.7881668530904], [-79.2841085028688, 43.7881578134496], [-79.2840868488473, 43.7881397972664], [-79.284059760388, 43.7881127426674], [-79.2840031752756, 43.7880856323209], [-79.2839473357072, 43.7880585233556]]]}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
